using cuda
{'loss': 0.1499, 'grad_norm': 1.1935374736785889, 'learning_rate': 8.5837922895358e-06, 'epoch': 2.85}
{'loss': 0.1531, 'grad_norm': 0.9910001754760742, 'learning_rate': 8.57592446892211e-06, 'epoch': 2.86}
{'loss': 0.1491, 'grad_norm': 0.7487602829933167, 'learning_rate': 8.56805664830842e-06, 'epoch': 2.88}
{'loss': 0.1471, 'grad_norm': 0.4503505527973175, 'learning_rate': 8.56018882769473e-06, 'epoch': 2.89}
{'loss': 0.1488, 'grad_norm': 0.6543377041816711, 'learning_rate': 8.55232100708104e-06, 'epoch': 2.91}
{'loss': 0.1545, 'grad_norm': 0.662350058555603, 'learning_rate': 8.54445318646735e-06, 'epoch': 2.92}
{'loss': 0.1476, 'grad_norm': 0.7220560312271118, 'learning_rate': 8.536585365853658e-06, 'epoch': 2.94}
{'loss': 0.1484, 'grad_norm': 0.6420546770095825, 'learning_rate': 8.52871754523997e-06, 'epoch': 2.96}
{'loss': 0.1505, 'grad_norm': 1.215091347694397, 'learning_rate': 8.520849724626279e-06, 'epoch': 2.97}
{'loss': 0.1503, 'grad_norm': 1.0226027965545654, 'learning_rate': 8.512981904012589e-06, 'epoch': 2.99}
{'loss': 0.1607, 'grad_norm': 1.3600672483444214, 'learning_rate': 8.505114083398899e-06, 'epoch': 3.0}
{'loss': 0.1457, 'grad_norm': 0.8325515389442444, 'learning_rate': 8.497246262785209e-06, 'epoch': 3.02}
{'loss': 0.1452, 'grad_norm': 0.9332047700881958, 'learning_rate': 8.489378442171519e-06, 'epoch': 3.03}
{'loss': 0.1491, 'grad_norm': 0.6471570730209351, 'learning_rate': 8.481510621557829e-06, 'epoch': 3.05}
{'loss': 0.1552, 'grad_norm': 0.4793025851249695, 'learning_rate': 8.47364280094414e-06, 'epoch': 3.07}
{'loss': 0.1441, 'grad_norm': 0.773728609085083, 'learning_rate': 8.46577498033045e-06, 'epoch': 3.08}
{'loss': 0.1471, 'grad_norm': 1.0146019458770752, 'learning_rate': 8.45790715971676e-06, 'epoch': 3.1}
